,title,author,date,text,url,news source,political affiliation
76,Woman set to replace Puerto Rico’s governor turns down job,Mark Moore,2019-07-28,"The woman who is next in line to replace embattled Puerto Rican Gov. Ricardo ​​​​Rosselló​ next week now says she doesn’t want the job, as the US territory is embroiled in crisis. ​”​I have no interest in occupying the position of Governor. It is a Constitutional opinion. I hope that the Governor identifies and submits a candidate for the position of Secretary of State before August 2 and I have told him so​,” Wanda ​Vázquez​, the secretary of justice, ​announced Sunday on her Twitter account.
​
​Under Puerto Rico’s constitution, Secretary of State Luis Rivera Marin would have succeeded Rosselló –​ ​but he resigned earlier this month after it was revealed he was among the top officials involved in the scandal that led to ​​​Rosselló​’s ouster. Messages exchanged between the outgoing governor and his close advisers show they insulted women and victims of Hurricane Maria. ​Rosselló initially said he would not seek a second term, but protests rocked the country over the past two weeks calling for his immediate resignation. If a new secretary of state isn’t approved in time, the line of succession after ​Vázquez​ falls to Secretary of Treasury Francisco Parés and Secretary of Education Eligio Hernández​. But some protesters and government officials have been pushing for Senate President Thomas Rivera Schatz.
​
With Post wires ",https://nypost.com/2019/07/28/woman-set-to-replace-puerto-ricos-governor-turns-down-job/,New York Post,Conservative
47,AOC supports the 'decolonization process' of Puerto Rico following governor's resignation,Joseph A. Wulfsohn   ,2019-07-26,"Rep. Alexandria Ocasio-Cortez, D-N.Y., expressed support for the  ""decolonization process"" of Puerto Rico following the announced resignation of its embattled governor, Ricardo Rosselló.In an Instagram livestream on Thursday night, Ocasio-Cortez took questions from her followers. The first asked how she felt about what's happening in Puerto Rico.""First of all, I am so incredibly proud of everyone in Puerto Rico right now demanding accountability from their government,"" Ocasio-Cortez began.  ""They were so relentlessly creative in their protest that they were able to get the governor to finally resign as well as some of his cabinet members.""Ocasio-Cortez, who is of Puerto Rican descent, then suggested the island's independence from the United States.""I'm really proud of everyone that's out there, but of course there's a lot of work to be done,"" Ocasio-Cortez continued. ""This is just the beginning of a decolonization process, a process of self-determination where the people of Puerto Rico begin to start taking their own self-governance into their own hands.""She added, ""So I'm really excited about the protest, I'm excited, I'm encouraged to hear about Ricardo Rosselló's resignation, but it's also just a first step. We have a long way to go.""Thousands of Puerto Ricans took to the streets after online chats from Rosselló and other top officials that mocked women, gays, political opponents, and victims of Hurricane Maria were leaked. Rosselló's administration is also being investigated for alleged corruption by Puerto Rico's Department of Justice.Joseph A. Wulfsohn is a media reporter for Fox News Digital. Story tips can be sent to joseph.wulfsohn@fox.com and on Twitter: @JosephWulfsohn.",https://www.foxnews.com/media/aoc-decolonization-puerto-rico,Fox,Conservative
49,Puerto Rico's governor to resign amid protests over leaked obscene online chats,Brie Stimson,2019-07-25,"Ricardo Rosselló, the embattled governor of Puerto Rico, announced on Wednesday that he will resign on Aug. 2, after more than a week of massive protests calling for his ouster over leaked obscene, misogynistic online chats.Rosselló took to Facebook Wednesday to announce that his resignation will go into effect at 5 p.m. on Friday.Puerto Rico’s Department of Justice confirmed to Fox News Tuesday that search warrants had been issued in an investigation into the governor and 11 of his aides over whether they committed any crimes related to offensive, obscenity-laden online chats that were released.The leaked conversations reportedly showed the governor mocking women, homosexuals, political opponents and victims of Hurricane Maria.In one message, Rosselló reportedly called one New York female politician of Puerto Rican descent a “w---e” and described another as a “daughter of a b---h.” One chat included vulgar references to Latin pop star Ricky Martin’s homosexuality.On Monday, Rosselló told Fox News he took responsibility for allegations of corruption from his own people but said he would not resign. Over the weekend, he said he would not seek re-election.More than a dozen officials have already resigned since the chats were leaked.Fox News’ Andrew O’Reilly and the Associated Press contributed to this report. ",https://www.foxnews.com/politics/puerto-ricos-governor-resigns-over-offensive-messages-corruption-allegations,Fox,Conservative
50,"Crowds light fireworks, flood streets after Puerto Rico governor resigns; pols and celebs congratulate islanders",Danielle Wallace   ,2019-07-25,"Crowds in San Juan set off fireworks and flooded the streets, cheering and waving Puerto Rican flags Wednesday, moments after learning that Gov. Ricardo Rosselló had announced plans to leave office. Public figures, including 2020 Democratic candidate Bernie Sanders and Puerto Rican-American playwright Lin-Manuel Miranda, shared video of the mass celebrations that ensued after Rosselló announced via the official Fortaleza de PR Facebook page that he would resign, effective Friday, Aug. 2 at 5 p.m.Crowds already gathered in the streets of San Juan erupted in cheers, waved flags and began chanting a celebratory ""Olé"" upon hearing the news. Fox News correspondent Bryan Llenas shared video shot moments after Puerto Ricans heard Rosselló’s resignation announcement on their cell phones. “Fireworks. Cheers. Hugs. Pots banging. Old San Juan erupts in celebration after @ricardorossello resigns on eve of Puerto Rico’s constitution day. @foxnews is here.” Llenas wrote. A video tweeted by Nick Brown, a Reuters journalist, shows balcony shots of a euphoric crowd in the street while fireworks burst in the sky over San Juan in the background. “BREAKING: It is official. @ricardorossello will resign effective August 2. Protesters light fireworks, erupt in euphoric cheer. Here is the moment they find out their cries, fraught as they are, have been heard. That Ricky has resigned. #rickyrenuncia #PuertoRico” Brown wrote. Lin-Manuel Miranda, the Puerto Rican-American playwright famous for creating and starring in the Broadway hit ""Hamilton,"" retweeted Brown’s video. “Look at the fireworks,” he wrote. Vermont Democrat Bernie Sanders also retweeted Brown's video and wrote:  “I congratulate the millions of people in Puerto Rico who came together to demand the resignation of Governor Rosselló. When we stand together, there is nothing we cannot accomplish.” The governor’s resignation announcement came after more than a week of massive protests calling for his ouster over leaked obscene, misogynistic online chats. The leaked conversations reportedly showed the governor mocking women, homosexuals, political opponents and victims of Hurricane Maria.On Monday, Rosselló told Fox News he took responsibility for allegations of corruption from his own people but said he would not resign. Over the weekend, he said he would not seek re-election.Fox News’ Bryan Llenas, Andrew O’Reilly, Brie Stimson and the Associated Press contributed to this report. Danielle Wallace is a reporter for Fox News Digital covering politics, crime, police and more. Story tips can be sent to danielle.wallace@fox.com and on Twitter: @danimwallace. ",https://www.foxnews.com/politics/bernie-sanders-lin-manuel-miranda-puerto-rico-san-juan-celebrates-rossello-resigns-fireworks-ricky-renuncio,Fox,Conservative
77,Puerto Rico doesn’t want political unrest to deter tourists from its beaches,Jackie Salo,2019-07-25,"Puerto Rico doesn’t want political turmoil to deter tourists from its picturesque beaches. Discover Puerto Rico, the island’s tourism agency, has tried to allay fears that vacations may be ruined by recent protests over Gov. Ricardo Rosselló, who announced his resignation Wednesday in the wake of a leaked text message scandal. “Puerto Rico remains open for tourism and changes to government leadership on the Island do not change this,” the agency said. Mass protests have formed over the last two weeks after a series of offensive texts between Rosselló and other members of the administration were leaked to the press. In one of the messages, Rosselló referred to former New York City Council Speaker Melissa Mark-Viverito, who is from Puerto Rico, as a “whore.” “With the recent protests on the Island, calling for the Governor’s resignation, a resolution was needed for the Island to continue its strong path to recovery,” the tourism agency said. “We are encouraged by the accounts of many travelers who arrived on the Island during the last two weeks to enjoy the Island’s gastronomy, attractions and cultural offerings, and we are welcoming new travelers each day.” But local tourism has already taken a hit from the political unrest in the island destination. Earlier in the week, Royal Caribbean rerouted two ships headed to Puerto Rico — as thousands of the island’s residents marched in protests, NBC News reported. The cruise line notified passengers on the Empress of the Seas and Harmony of the Seas that they would be rerouted to the British Virgin Islands and St. Maarten, respectively. Royal Caribbean said it will continue to follow recent events out of the island. “We are currently monitoring the situation in San Juan, PR and will advise our guests of any itinerary changes if necessary,” a Royal Caribbean rep told The Post on Thursday. ",https://nypost.com/2019/07/25/puerto-rico-doesnt-want-political-unrest-to-deter-tourists-from-its-beaches/,New York Post,Conservative
48,"Puerto Rico crowds hail governor’s resignation, but say there are still a ‘lot of corrupt people' to remove",Greg Norman   ,2019-07-25,"Demonstrators among the jubilant crowds celebrating the resignation of Puerto Rico Gov. Ricardo Rosselló in Old San Juan told Fox News Thursday they are “relieved” he will step down -- but that there are still a “lot of corrupt people we want to get out of here.”Rosselló announced late Wednesday night that he will relinquish his post next Friday, becoming the first governor to resign in the history of the U.S. island territory. The decision came following more than a week of protests against him, spurred by a leak of crude and insulting chat messages between Rosselló and his top advisers. “We got the first guy out but there’s a lot of corrupt people we want to get out of here,” Rafael Munoz, who was among the thousands who gathered outside the governor’s mansion in Old San Juan to celebrate the resignation, told Fox News. “Most of all, I'm relieved.”Rosselló’s announcement was met with the sounds of fireworks going off in Puerto Rico’s capital, as residents were seen crying, banging pots and pans and playing music.“I can't even believe it. I can't even describe it. This is historic,” said Jamie Reyes, another demonstrator. “I feel like I'm going to have to pinch myself. And check the news to see if he was actually saying the truth.”The leaked conversations reportedly showed the governor mocking women, homosexuals, political opponents and victims of Hurricane Maria.In one message, Rosselló reportedly called one New York female politician of Puerto Rican descent a “w---e” and described another as a “daughter of a b---h.” One chat included vulgar references to Latin pop star Ricky Martin’s homosexuality.More than a dozen officials have already resigned since the chats were leaked, and prior to Rosselló announcing his own departure, lawmakers made threats of impeachment. Puerto Rico’s House of Representatives is now considering going through the impeachment process anyway, as its president told the Radio Isla station Thursday that he has doubts that Rosselló will keep his word.Justice Secretary Wanda Vázquez is the person in line to assume Rosselló's post, taking over more than halfway through Rosselló's four-year term and becoming Puerto Rico's second female governor.The upheaval comes as the island tries to restructure part of $70 billion in debt and cope with a 13-year recession that has led to an exodus of nearly half a million people to the U.S. mainland in the past decade. Many Puerto Ricans are resentful over the resulting pension cuts, school closings and other austerity measures.The economic crisis is in part a result of previous administrations — including that of Rosselló's father, Pedro — that overspent, overestimated revenue and borrowed millions as the island sank deeper into debt. In 2017, Puerto Rico filed for the equivalent of bankruptcy. Congress approved a financial package, and a federal board is overseeing the island's finances.Rosselló spent much of his time as governor fighting austerity measures and seeking federal funds after Maria devastated the island in September 2017, causing thousands of deaths and more than $100 billion in damage.But nearly two years later, some 30,000 homes still have tarp roofs, power outages remain common, and Puerto Rico has received less than a third of the roughly $40 billion pledged by the U.S. government. Fox News’ Bryan Llenas, Brie Stimson, Danielle Wallace and the Associated Press contributed to this report.",https://www.foxnews.com/politics/puerto-rico-crowds-celebrate-resignation,Fox,Conservative
51,Puerto Rico Gov. Ricardo Rosselló to resign: sources,Ronn Blitzer,2019-07-24,"Puerto Rico Gov. Ricardo Rosselló plans to resign, two sources have told Fox News, after his administration was the target of mass protests for weeks over corruption allegations and a leaked-message scandal.The governor, who met with his cabinet on Wednesday, said through a spokesperson that he will directly send a message out to the people of Puerto Rico. He asked for patience and on Wednesday evening said he was working on the announcement. Earlier on Wednesday, a source close to Rosselló said that the governor is set to step down in a ""quick exit,"" adding a video has already been cut and the wheels are in motion to move the island's government forward.""It's over. Transition well in gear,"" the source said. A second source corroborated the information.The governor's office, however, maintained Wednesday afternoon that he ""continues"" in office and has not left:“Governor Ricardo Rosselló Nevares has not resigned and continues in Puerto Rico. As he said yesterday, he is in a process of reflection and listening to the people. Whatever decision you make, it will be officially communicated, as usual. Due to the environment of expectation, at the moment, there are incorrect rumors that are being disseminated, even in some media. We reiterate that any official communication will be shared with the media.”Public outcry against Rosselló reached a fever pitch earlier this month, after Puerto Rico’s Center for Investigative Journalism published approximately 900 pages of private messages between him and other officials that included misogynistic and homophobic language.In one message Rosselló called one New York female politician of Puerto Rican descent a “w---e” and described another as a “daughter of a b---h.” One chat also made vulgar references to Latin pop star Ricky Martin’s homosexuality. The messages also included jokes about Puerto Rican victims of Hurrican Maria, which devastated the island in 2017.Puerto Rico’s Department of Justice confirmed to Fox News that search warrants were issued as officials in the U.S. territory look into whether any criminal or ethical crimes were committed in the so-called “chatgate” controversy.The messages went public after two former Puerto Rico officials were arrested on corruption charges. Prosecutors say former Puerto Rico Education Secretary Julia Keleher and former Health Insurance Administration head Ángela Ávila-Marrero were involved in illegally helping friends get lucrative government contracts. Rosselló himself was not indicted.Thousands of protesters demonstrated outside Rosselló’s home earlier in the week. Other protests erupted throughout the island in recent days.Members of both parties have supported calls for Rosselló’s departure from office, including Sen. Rick Scott, R-Fla., and Democratic presidential candidate Julián Castro.Rosselló had previously stated he would remain in office and even deal with impeachment, but would not seek re-election. In a Monday interview with Fox News' Shepard Smith, he illustrated his plans to continue as governor.“My effort and my commitment is to follow through on some of the efforts that I've established for the people of Puerto Rico,” Rosselló said. “That includes establishing, again, a plan that I've already circulated with members within the White House so that we can battle this corruption, so that we can tackle what government employees are doing, what we are doing as elected officials, and a collaboration with the federal government.""Fox News’ Bryan Llenas, Ivonne Amor, Andrew O'Reilly and The Associated Press contributed to this report.",https://www.foxnews.com/politics/puerto-rico-gov-ricardo-rossello-resign-source,Fox,Conservative
78,Puerto Rico begins impeachment against Gov. Ricardo Rosselló,Tamar Lapin,2019-07-24,"Puerto Rico’s legislature has begun an impeachment process against embattled Governor Ricardo Rosselló, a senior lawmaker said Wednesday. This comes after a probe into leaked Telegram app chat messages between Rosselló and his advisers found that crimes may have been committed during the conversations. “The impeachment process has started,” Johnny Mendez, speaker of Puerto Rico’s House of Representatives and a member of Rossello’s party who was targeted in the chats, told Reuters. An independent panel of lawyers commissioned by Mendez to look into the messages found four felonies and one misdemeanor may have been committed during the group chats, one of the attorneys said. The scandal — dubbed “Rickyleaks” in local media — has sparked nearly two weeks of protests demanding the ouster of Rosselló. Local media, including El Nuevo Día newspaper, cited unnamed sources early Wednesday as saying Rosselló’s resignation was imminent. A spokesman for the first-term governor said Rosselló is still weighing his options. “Whichever decision he makes will, as always, be communicated officially,” Anthony Maceira said. The governor’s chief of staff Ricardo Llerandi resigned on Tuesday, citing concerns for his family’s safety. With Post wires ",https://nypost.com/2019/07/24/puerto-rico-begins-impeachment-against-gov-ricardo-rossello/,New York Post,Conservative
52,Puerto Rico judge issues search warrants for embattled governor and aides as protests continue,Andrew O'Reilly   ,2019-07-23,"Puerto Rican official Tuesday confirmed that search warrants have been issued in the investigation into Gov. Ricardo Rosselló and 11 of his aides. Puerto Rico’s Department of Justice confirmed to Fox News that search warrants were issued as officials in the U.S. territory look into whether any criminal or ethical crimes were committed in the so called “chatgate” controversy.“I can confirm search warrants have been issued. This is an ongoing investigation and we can’t comment further,” Mariana Cobián, the press director for Justice Department of Puerto Rico, told Fox News’ Bryan Llenas. Cobián would not say how many warrants were issued or what they were for. Territorial Justice Department spokesman Kelvin Carrasco told The Associated Press on Tuesday that the warrants were approved overnight and were issued for those who have not yet turned over their phones. He did not name the officials and declined further comment because the investigation is ongoing.The warrants come two days after Rosselló, a Democrat, announced that he would not seek re-election amid the corruption allegations that have led to widespread protests across the island. The governor, however, has so far refused to give in to demands by protesters for him to step down from his post.Rosselló dug his heels in late Monday after what seemed to have been the biggest protest the island has seen in nearly two decades. He told Fox News that he has already apologized and made amends following the leak of an offensive, obscenity-laden online chat among him and his advisers that triggered the crisis.Many Puerto Ricans have been calling for Rosselló’s resignation after  the leaked online chats showed him insulting women and political opponents as well as mocking victims of Hurricane Maria, one of the most devastating natural disasters to hit the island territory.Puerto Rico’s Center for Investigative Journalism earlier this month published nearly 900 pages of private messages between Rosselló and several other government officials. In one message Rosselló called one New York female politician of Puerto Rican descent a “w---e” and described another as a “daughter of a b---h.” One chat also made vulgar references to Latin pop star Ricky Martin’s homosexuality. His official residence has been under siege in the aftermath, as hundreds of thousands of protesters gathered outside La Fortaleza, the governor’s official residence. A wave of protests hit the island this past Friday, with union workers marching toward La Fortaleza from the nearby waterfront. Horseback riders and hundreds of other people also joined the march.Fox News’ Talia Kaplan and . ",https://www.foxnews.com/politics/puerto-rico-judge-issues-search-warrants-for-embattled-governor-and-aides-as-protests-continue,Fox,Conservative
79,"Puerto Rico governor, aides ordered to turn over cellphones",Kate Sheehy,2019-07-23,"Federal authorities in Puerto Rico have ordered Gov. Ricardo Rosselló and 11 of his aides to turn over their cellphones as part of a growing probe into his leaked offensive chat with advisers, officials said Tuesday. A spokesman with the US territory’s Department of Justice said warrants for the phones were issued overnight. The rep would not identify whose phones were being targeted, but CBS said Rosselló was among the dozen. Justice officials added to Fox News that the warrants were tied to the beleaguered island’s so-called “chatgate.” The development came as Rosselló’s top ally in Washington, DC — the head of the agency that represents Puerto Rico in the States — revealed that he has resigned amid the turmoil. “It is very sad and disappointing for me to see the events and revelations that have come about in the past few days, which directly contradict my personal and professional values and ethics,” George Laws Garcia, acting director of the Puerto Rican Federal Affairs Administration, wrote in a letter dated Saturday and addressed to Rosselló. “Unfortunately, these circumstances make it impossible for me to continue working for you and representing the government of Puerto Rico, at this time,’’ Garcia said in the letter, a copy of which was tweeted out by the co-host of the political podcast “In the Thick,’’ Julio Ricardo Varela. Meanwhile, Tuesday marked the 11th day that the island has been rocked by massive protests since the publication of the profanity-laced, homophobic and misogynistic phone chats between Rosselló and aides. In one chat, Rosselló called former New York City Council Speaker Melissa Mark-Viverito, who is from Puerto Rico, a “whore” in Spanish. He has since apologized. Rosselló’s chief fiscal officer, Christian Sobrino Vega, also sneered in another missive that Ricky Martin, the island’s gay superstar singer, “is such a male chauvinist that he f—ks men because women don’t measure up.” Some of the outrageous messages even mocked the victims of deadly Hurricane Maria, whose devastating effects are still being felt on the debt-riddled island two years later. Rosselló, who refused to step down Sunday, which ramped up the protests against him, appeared on Fox News on Monday to say he’d already apologized and was moving on. But news host Shepard Smith wasn’t having it. “The corruption was in your own administration,” Smith said. “Five people who were on those chats, you got rid of all of them, they are now out of the government, but you remain. Doesn’t the buck stop with your office, Governor?” Rosselló responded, “I was elected by the people of Puerto Rico.” Smith replied, “And those people are on the streets of your biggest city today saying, ‘We want you out.’” When the TV anchor pushed Rosselló to name one person who has publicly defended him, the governor said Javier Jiménez, the mayor of San Sebastian. Jimenez later told Fox, “It’s not true that I support the governor.” Police in riot gear ended up firing tear gas at anti-Rosselló protesters in the capital city of San Juan on Monday night to beat them back. Puerto Rico House Speaker Carlos Mendez, who is in Rosselló’s own party, has already called for an independent panel to weigh whether the governor should be impeached over the messages. The governor’s administration has been dogged by corruption allegations, too, in which six people have been charged with crimes including conspiracy. The allegations involve millions of dollars in federal health care and education funds. The island is reeling in debt to boot — with at least $74 billion in unpaid bills. ",https://nypost.com/2019/07/23/puerto-rico-governor-aides-ordered-to-turn-over-cell-phones/,New York Post,Conservative
55,Puerto Rico governor tells Fox News he 'assumes responsibility' for actions in first one-on-one interview since scandal began,Talia Kaplan   ,2019-07-22,"Embattled Puerto Rico Gov. Ricardo Rosselló told Fox News on Monday he “assumes responsibility” for his actions that have sparked widespread protests and calls for his resignation, in his first one-on-one interview since the scandal began.During the heated interview on “Shepard Smith Reporting,” the governor, a Democrat and member of the territory's New Progressive Party (PNP), added he will “make an effort for reconciliation” in the wake of allegations of corruption and insulting the people of Puerto Rico, including victims of Hurricane Maria.When Shepard Smith asked Rosselló why he wouldn’t step down as governor especially given all the protests, he answered: “There's an important component about rule of law and democracy, and I respect that process. We will have, and we will propose, certain mechanisms so that within the future that process can go forward.”He added, “My contention is that I need to work beyond politics so that we can address some of the long-standing problems of corruption here in Puerto Rico and fix that problem.”Rosselló announced Sunday he will not seek re-election but refused to resign, as allegations of corruption and insulting his people led nearly 100,000 protesters to take to the streets in and around the capital city, San Juan.“I've seen the [protests], I've heard the people talk. I've had a process of introspection and I did. I have made a decision I'm not going to run. I'm not going to seek re-election. And that way I can focus on the job at hand,” Rosselló told Smith on Monday. “You know, I've had the biggest recovery effort in the modern history of the United States on our hands. We're battling corruption with certain initiatives that we've already started, and certain new ones that we want to put out there, so that we can fix the problem.”Many Puerto Ricans have been calling for Rosselló’s resignation after leaked online chats showed him insulting women and political opponents as well as mocking victims of Hurricane Maria, one of the most devastating natural disasters to hit the island territory.Rosselló said Sunday in a Facebook video that he agreed with the people's right to protest and was willing to confront the impeachment process, which already had begun in Puerto Rico's legislature. He said although he will not resign as the island's leader, he will step down as head of his pro-statehood party.Smith interrupted Rosselló during Monday's interview by pointing out the “attacks” he made on women, homosexuals and “on the dead relatives of your own residents across your own island.” Smith then asked, “After all that, who's left to support you? And is it even safe for you to continue to attempt to govern?”Rosselló answered, “I’ve apologized for that. I’m making amends for all those efforts.”Smith asked, “You’ve apologized for what specifically, governor?” Rosselló responded, “For all of the comments that I’ve made on the chats.” He added, “There’s another effort that needs to move forward which is the battling of corruption.” Smith then interrupted Rosselló again, saying, “The corruption was in your own administration, 15-and-a-half million dollars and five people who were on those chats, you got rid of all of them. They are now out of the government but you remain. Doesn’t the buck stop with your office, governor?”“That’s right, but I was elected by the people of Puerto Rico,” Rosselló answered. “Those people are on the streets of your biggest city today saying, ‘We want you out.’ That’s the headline in the main newspaper and the politicians on both sides of the political aisle on your own island are saying the exact same thing,” Smith said. “You’re a man on an island by yourself, how long can you stay there?” Smith asked. “My effort and my commitment is to follow through on some of the efforts that I've established for the people of Puerto Rico,” Rosselló said in response. “That includes establishing, again, a plan that I've already circulated with members within the White House so that we can battle this corruption, so that we can tackle what government employees are doing, what we are doing as elected officials, and a collaboration with the federal government. This is the biggest recovery effort in the United States, history.”In Sunday's Facebook video, Rosselló acknowledged his “mistakes” and pointed out that he had apologized in the past. He did not offer a formal apology in Sunday’s video and did not immediately offer an apology during the interview with Smith on Monday. Earlier this month, Puerto Rico’s Center for Investigative Journalism published nearly 900 pages of private messages between Rosselló and several other government officials.In one message Rosselló called one New York female politician of Puerto Rican descent a “w---e” and described another as a “daughter of a b---h.” One chat also made vulgar references to Latin pop star Ricky Martin’s homosexuality.During Monday’s live interview, Smith asked Rosselló why he continuously said he's apologized for his “mistakes,” pointing out that the word usually refers to “things you did by accident,” which Smith said was not represented by the 900 pages of attacks on people on his own island. When Smith asked Rosselló if he would want a person like that leading him, Rosselló responded by saying, “I would want to showcase my record.” He eventually apologized to the people he had offended, including Martin, after Smith had asked Rosselló if he had apologized “sufficiently.”“Everything that was said I assume responsibility for. I apologize for it,"" Rosselló told Smith.He added, “My focus is to make sure that the policy that we have enacted moves forward.”Amid the outcry, the media-friendly governor largely has avoided public appearances since July 11, making only four brief appearances, breaking from his usual three or four lengthy news conferences in addition to multiple media appearances.The calls to oust the governor have caught the attention in the mainland U.S. and several officials, including presidential candidate Julián Castro, have come out in support of the protesters.Castro, a Democrat, openly called on Rosselló to step down, saying “it’s clear that Gov. Rosselló can no longer be effective.”President Trump on Monday blasted Rosselló as a “terrible governor.” “The governor is not good,” Trump told reporters in the Oval Office. “The U.S. gave Puerto Rico $92 billion and it’s in the hands of terrible and corrupt people... You have grossly incompetent leadership.”Some well-known athletes with ties to the island also urged the governor to resign last week, including the Los Angeles Dodgers’ Enrique Hernandez and the St. Louis Cardinals’ Yadier Molina.During a July 11 news conference, Rosselló asked Puerto Ricans to forgive him for the comments he made in private. In further media appearances, he continued to ask for forgiveness over the comments many deemed offensive and misogynistic.Fox News’ Andrew O’Reilly, Lukas Mikelionis, Mike Arroyo and .",https://www.foxnews.com/media/puerto-rico-ricardo-rossello-shepard-smith-assumes-responsibility-protests-scandal,Fox,Conservative
54,Puerto Rico governor announces he will not seek re-election but refuses to resign,Talia Kaplan   ,2019-07-22,"Puerto Rico Gov. Ricardo Rosselló announced Sunday he will not seek re-election but refused to resign, as corruption allegations have sparked widespread protests in San Juan.Rosselló, a Democrat and member of the territory's New Progressive Party (PNP), made the announcement Sunday in a four-minute Facebook video. He also said he agreed with the people's right to protest and was willing to confront the impeachment process, which already had begun in Puerto Rico's legislature.The embattled governor said although he will not resign as the island's leader, he will step down as head of his pro-statehood party.In the video Rosselló acknowledged his “mistakes” and pointed out that he had apologized in the past. He did not offer a formal apology in Sunday’s video. Many Puerto Ricans have been calling for Rosselló’s resignation after leaked online chats showed him insulting women and political opponents as well as mocking victims of Hurricane Maria, one of the most devastating natural disasters to hit the island territory.His official residence has been under siege this week as hundreds of thousands of protesters gathered outside La Fortaleza, the governor’s official residence.Amid the outcry, the media-friendly governor has avoided public appearances since July 11, making only four brief appearances, breaking from his usual three or four lengthy news conferences in addition to multiple media appearances.A wave of protests hit the island this past Friday, with union workers marching toward La Fortaleza from the nearby waterfront. Horseback riders and hundreds of other people also joined the march.Smaller protests also broke out across the island over the weekend, though most people were expected to hit the streets on Monday.The calls to oust the governor have caught the attention in the mainland U.S. and several officials, including presidential candidate Julián Castro, have come out in support of the protesters.Castro, a Democrat, openly called on Rosselló to step down, saying “it’s clear that Gov. Rosselló can no longer be effective.”Sen. Rick Scott, R-Fla., and Reps. Nydia Velázquez, D-N.Y., and Alexandra Ocasio-Cortez, D-N.Y., also called for his ouster.Some well-known athletes with ties to the island also urged the governor to resign last week, including the Los Angeles Dodgers’ Enrique Hernandez and the St. Louis Cardinals’ Yadier Molina.Puerto Rico’s Center for Investigative Journalism earlier this month published nearly 900 pages of private messages between Rosselló and several other government officials.In one message Rosselló called one New York female politician of Puerto Rican descent a “w---e” and described another as a “daughter of a b---h.” One chat also made vulgar references to Latin pop star Ricky Martin’s homosexuality.During a July 11 news conference, Rosselló asked Puerto Ricans to forgive him for the comments he made in private. In further media appearances, he continued to ask for forgiveness over the comments many deemed offensive and misogynistic.Fox News' Mike Arroyo, Lukas Mikelionis and . ",https://www.foxnews.com/politics/puerto-rico-governor-announces-he-will-not-seek-re-election-but-refuses-to-resign,Fox,Conservative
53,Mayor in Puerto Rico rebuts embattled Gov. Ricardo Rosselló's claim of support,Talia Kaplan   ,2019-07-22,"A mayor in Puerto Rico has disputed embattled Gov. Ricardo Rosselló’s claim that he supports him, amid widespread protests and calls for Rosselló to step down.Rosselló appeared on “Shepard Smith Reporting” on Monday for his first one-on-one interview since the emergence of allegations that he is corrupt, and that he insulted the people of Puerto Rico, including victims of Hurricane Maria. During the heated interview, Rosselló named Javier Jiménez, the mayor of San Sebastian -- a municipality in Puerto Rico --  as one of his supporters. In response, Jiménez told Fox News later on Monday, “It’s not true that I support the governor.”“What he [Rosselló] said isn’t true,” he added.Jiménez also told Fox News that he's awaiting the results of an investigation of leaked online chats between Rosselló and several other government officials. Those chats are said to show Rosselló, a Democrat and member of the territory's New Progressive Party (PNP), insulting women and political opponents and mocking victims of Maria.Jiménez also issued a public statement on the San Sebastian Facebook page: “I have been clear and consistent in establishing that our Constitution provides mechanisms to interrupt the tenure by which a governor was elected by popular vote.” The post continued,: “The Puerto Rico House of Representatives has already begun the evaluation related to the ‘chat’ in which the governor participated, assembling a committee of lawyers from different political ideologies who will evaluate whether there are serious or less serious offenses that lead to moral corruption so that an impeachment process could be initiated. I have established that we should expect this committee to issue an assessment on the ‘chat.’”Rosselló announced Sunday that he won't seek re-election, but he also resisted calls to resign. The scandal led nearly 100,000 protesters to take to the streets in and around the capital city, San Juan.Many Puerto Ricans have been vocal in calling for Rosselló’s resignation since the chat leaks emerged.Rosselló said Sunday in a Facebook video that he agreed with the people's right to protest and was willing to confront the impeachment process, which already had begun in Puerto Rico's legislature. He said although he will not resign as the island's leader, he will step down as head of his pro-statehood party.Rosselló acknowledged his “mistakes” and pointed out that he had apologized in the past. He did not offer a formal apology in Sunday’s video and did not immediately offer an apology during the interview with Smith on Monday.“Everything that was said I assume responsibility for. I apologize for it,"" Rosselló told Smith after he was asked if he had apologized “sufficiently.”Earlier this month, Puerto Rico’s Center for Investigative Journalism published nearly 900 pages of private messages between Rosselló and other government officials.In one message Rosselló called one New York female politician of Puerto Rican descent a “w---e” and described another as a “daughter of a b---h.”One chat also made vulgar references to Latin pop star Ricky Martin’s sexuality.The calls to oust the governor have caught the attention of the mainland U.S., where there have been more calls for him to step aside. President Trump has blasted Rosselló on Monday as “a terrible governor.” Fox News’ Bryan Llenas, Carlos Bedoya and . ",https://www.foxnews.com/politics/mayor-in-puerto-rico-rebuts-embattled-gov-ricardo-rossellos-claim-of-support,Fox,Conservative
